COUNTRY,,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,NOTES
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14,14,15,13,
Travel - US$ Mn,,IMF,6,6,7,8,8,9,9,8,9,9,10,13,15,17,16,13,13,12,12,12,13,13,12,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,1,1,1,
ANTIGUA AND BARBUDA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,220,228,240,234,232,207,215,218,239,246,245,254,262,266,234,230,241,247,243,249,250,265,247,1/ Excluding nationals residing abroad. From 2004 arrivals by air.
Tourism expenditure in the country - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,804,805,804,774,
Travel - US$ Mn,,IMF,247,258,278,282,290,291,272,274,300,337,309,327,338,334,305,298,312,319,299,708,713,713,676,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96,92,91,98,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89,95,101,106,
Travel - US$ Mn,,IMF,23,26,27,29,30,31,32,33,35,38,40,45,52,58,54,51,49,49,50,66,70,77,81,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23,25,24,25,
ARGENTINA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,"2,289","2,614","2,764","3,012","2,898","2,909","2,620","2,820","2,995","3,457","3,823","4,173","4,562","4,700","4,308","5,325","5,705","5,587","5,246","5,931","5,736","6,655","6,720","1/ Change of methodology in 2013 and 2016. The data are not comparable with those of previous years.
2/ Starting 2004, as a result of the importance of the “Survey on International Tourism”, the estimates of the series of the “Travel” item of the Balance of Payments were modified. For this reason, the data are not rigorously comparable with those of previous years."
Tourism expenditure in the country - US$ Mn,,IMF,"2,550","2,975","3,153","3,353","3,175","3,195","2,756","1,716","2,306","2,660","3,209","3,926","5,030","5,273","4,455","5,605","6,058","5,665","5,199","5,645","5,441","5,186","5,514",
Travel - US$ Mn,2/,IMF,"2,222","2,621","2,778","3,025","2,898","2,904","2,642","1,535","2,006","2,235","2,729","3,351","4,325","4,664","3,989","4,989","5,431","5,014","4,525","4,960","4,927","4,686","5,060",
Passenger transport - US$ Mn,,IMF,328,354,375,328,277,291,114,181,300,425,480,575,705,609,466,616,627,651,674,685,514,500,454,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,1/,TF,"3,815","4,296","4,517","4,592","4,786","4,953","4,762","3,008","3,088","3,904","3,894","3,892","4,167","4,614","4,981","5,307","6,686","7,266","6,746","6,517","7,807","10,446","12,258",
Tourism expenditure in other countries - US$ Mn,,IMF,"4,013","4,449","4,973","5,282","5,228","5,460","4,888","2,744","2,997","3,208","3,554","4,047","5,077","5,987","5,808","6,448","7,602","8,466","8,421","7,837","9,348","11,729","13,516",
Travel - US$ Mn,2/,IMF,"3,278","3,584","3,962","4,230","4,195","4,425","3,893","2,328","2,511","2,604","2,790","3,108","3,935","4,586","4,536","4,951","5,667","6,117","5,932","5,983","6,982","9,026","10,506",
Passenger transport - US$ Mn,,IMF,735,865,"1,011","1,052","1,033","1,035",995,416,486,604,764,939,"1,142","1,401","1,272","1,497","1,935","2,349","2,489","1,854","2,366","2,703","3,010",
ARMENIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TF,12,13,23,32,41,45,123,162,206,263,319,382,511,558,575,684,758,963,"1,084","1,204","1,192","1,260","1,495",
Tourism expenditure in the country - US$ Mn,,IMF,14,18,33,41,47,52,81,81,90,189,243,406,522,564,570,694,762,853,905,994,956,988,"1,140",
Travel - US$ Mn,,IMF,1,12,20,24,31,38,65,63,73,172,223,370,484,518,530,646,722,817,880,966,936,968,"1,120",
Passenger transport - US$ Mn,,IMF,13,6,13,17,16,14,16,18,17,17,20,36,38,46,40,48,40,36,25,28,20,20,20,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,TF,..,..,..,..,..,111,110,131,169,221,269,329,468,516,526,563,715,965,"1,083","1,198","1,187","1,263","1,482",
Tourism expenditure in other countries - US$ Mn,,IMF,12,26,45,55,51,56,59,85,97,199,255,300,430,494,496,641,756,874,"1,007","1,101","1,057","1,119","1,325",
Travel - US$ Mn,,IMF,3,22,41,41,37,40,40,54,67,162,207,265,379,435,443,579,687,803,930,"1,024",996,"1,067","1,270",
Passenger transport - US$ Mn,,IMF,9,4,4,14,14,16,19,31,30,37,48,35,51,59,53,62,69,71,77,77,61,52,55,
ARUBA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,619,641,650,647,683,721,691,643,642,728,733,694,772,827,813,824,869,904,979,"1,072","1,225","1,102","1,071",1/ Arrivals by air.
Tourism expenditure in the country - US$ Mn,,IMF,554,666,726,786,782,850,825,835,858,"1,057","1,097","1,064","1,213","1,352","1,223","1,254","1,358","1,412","1,506","1,625","1,664","1,632","1,733",
Travel - US$ Mn,,IMF,521,620,689,741,729,814,822,834,858,"1,057","1,097","1,064","1,213","1,351","1,222","1,251","1,351","1,402","1,495","1,605","1,655","1,625","1,731",
Passenger transport - US$ Mn,,IMF,33,46,37,45,53,36,3,1,0,..,..,0.1,0.4,1,1,3,7,10,11,20,9,7,2,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,79,128,161,140,151,163,156,172,213,248,250,241,270,272,264,261,287,294,342,352,361,332,362,
Travel - US$ Mn,,IMF,73,120,156,135,140,146,135,159,188,218,226,218,251,250,243,243,269,275,320,330,344,319,349,
Passenger transport - US$ Mn,,IMF,6,8,5,5,11,17,21,13,25,30,24,23,19,22,21,18,18,19,22,22,17,13,13,
AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,VF,"3,726","4,165","4,318","4,167","4,459","4,931","4,856","4,841","4,746","5,215","5,499","5,532","5,644","5,586","5,490","5,790","5,771","6,032","6,482","6,922","7,450","8,269","8,815","1/ Excluding nationals residing abroad and crew members.
2/ Arrivals by air.
"
Arrivals - Thousands,2/,TF,..,..,..,"3,825","4,109","4,530","4,435","4,420","4,354","4,774","5,020","5,064",..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in the country - US$ Mn,,IMF,"10,370","11,882","11,735","10,169","11,408","11,594","11,333","12,148","14,981","18,032","19,719","20,408","25,024","27,189","26,909","31,064","34,315","34,137","32,889","33,619","30,872","36,786","43,982",
Travel - US$ Mn,,IMF,"8,130","9,519","9,456","8,130","9,258","9,375","9,222","10,044","12,620","15,212","16,750","17,538","21,774","23,986","24,566","28,472","31,582","31,557","30,617","31,452","28,892","34,746","41,754",
Passenger transport - US$ Mn,,IMF,"2,240","2,363","2,279","2,039","2,150","2,219","2,111","2,104","2,361","2,820","2,969","2,870","3,250","3,203","2,343","2,592","2,733","2,580","2,272","2,167","1,980","2,040","2,228",
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,VF,"2,519","2,732","2,933","3,161","3,210","3,498","3,443","3,461","3,388","4,369","4,756","4,941","5,462","5,808","6,276","7,103","7,788","8,212","9,052","9,480","9,807","10,380","10,932",
Tourism expenditure in other countries - US$ Mn,,IMF,"7,605","8,545","8,880","8,307","8,798","9,065","8,184","8,640","10,434","14,702","16,153","17,293","22,052","25,557","22,680","27,851","33,967","35,226","35,197","32,462","28,614","32,923","39,491",
Travel - US$ Mn,,IMF,"5,165","5,920","6,261","5,930","6,181","6,388","5,735","5,963","7,337","10,667","11,749","12,537","16,454","19,617","18,738","22,558","27,371","28,078","28,575","26,919","23,734","28,044","34,251",
Passenger transport - US$ Mn,,IMF,"2,440","2,625","2,619","2,377","2,617","2,677","2,449","2,677","3,097","4,035","4,404","4,756","5,598","5,940","3,942","5,293","6,596","7,148","6,622","5,543","4,880","4,879","5,240",
AUSTRIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TCE,"17,173","17,090","16,647","17,352","17,467","17,982","18,180","18,611","19,078","19,374","19,952","20,269","20,773","21,935","21,355","22,004","23,012","24,151","24,813","25,291","26,728","28,121","29,460","1/ Only paid accommodation; excluding stays at friends and relatives and second homes.
2/ Holiday and business trips with at least one overnight stay, including stays at friends and relatives and second homes."
Tourism expenditure in the country - US$ Mn,,IMF,"14,529","13,980","12,275","12,694","12,358","11,382","11,511","12,334","15,128","17,251","18,471",..,..,..,..,..,..,..,..,..,"20,416","20,971","22,408",
Travel - US$ Mn,,IMF,"13,435","12,830","11,018","11,241","10,847","9,899","9,948","10,803","13,307","15,150","16,243","16,512","18,559","21,630","19,154","18,758","19,775","18,937","20,220","20,907","18,287","19,239","20,323",
Passenger transport - US$ Mn,,IMF,"1,094","1,150","1,257","1,453","1,511","1,483","1,563","1,531","1,821","2,101","2,228",..,..,..,..,..,..,..,..,..,"2,129","1,732","2,085",
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,2/,TF,..,..,..,..,..,"7,528","8,350","8,266","8,384","8,371","8,206","10,042","9,876","9,677","10,121","9,882","9,874","10,960","10,671","10,994","10,628","11,534","11,491",
Tourism expenditure in other countries - US$ Mn,,IMF,"11,686","11,777","10,672","10,399","7,517","7,001","7,408","7,743","9,761","10,812","11,077",..,..,..,..,..,..,..,..,..,"11,335","11,632","12,878",
Travel - US$ Mn,,IMF,"10,887","11,015","10,062","9,581","6,727","6,232","6,579","6,901","8,623","9,237","9,316","9,628","10,561","11,432","10,817","10,122","10,548","9,991","10,254","11,091","9,327","9,770","10,761",
Passenger transport - US$ Mn,,IMF,799,762,610,818,790,769,829,842,"1,138","1,575","1,761",..,..,..,..,..,..,..,..,..,"2,008","1,862","2,117",
AZERBAIJAN,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,VF,93,210,306,483,602,681,767,834,"1,038","1,279","1,177","1,194","1,333","1,899","1,830","1,963","2,239","2,484","2,509","2,298","2,006","2,249","2,697",
Arrivals - Thousands,,TF,..,..,..,..,..,..,..,576,768,989,693,682,732,"1,043","1,005","1,280","1,562","1,986","2,130","2,160","1,922","2,044","2,454",
Tourism expenditure in the country - US$ Mn,,IMF,87,57,176,143,93,68,57,63,70,79,100,201,317,382,545,792,"1,500","2,634","2,618","2,713","2,535","2,855","3,214",
Travel - US$ Mn,,IMF,70,46,162,125,81,63,43,51,58,65,78,117,178,191,379,657,"1,287","2,433","2,365","2,432","2,309","2,714","3,012",
Passenger transport - US$ Mn,,IMF,17,11,14,18,12,5,14,12,12,14,22,84,139,191,166,135,213,201,253,281,226,141,202,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,VF,..,432,654,"1,146","1,204","1,326","1,130","1,141","1,475","1,473","1,830","1,836","1,631","2,162","2,363","3,176","3,550","3,874","4,285","4,244","4,096","4,282","4,109",
Departures - Thousands,,TF,..,..,..,..,..,..,..,..,..,..,887,890,791,"1,048","1,145","1,820","2,308","2,829","3,307","3,319","3,256","3,592","3,447",
Tourism expenditure in other countries - US$ Mn,,IMF,165,115,193,181,149,138,119,110,120,140,188,256,381,456,488,856,"1,778","2,617","3,032","3,163","2,743","2,593","2,803",
Travel - US$ Mn,,IMF,146,100,186,170,139,132,109,105,111,126,164,201,264,343,406,782,"1,689","2,477","2,877","3,008","2,603","2,494","2,658",
Passenger transport - US$ Mn,,IMF,19,15,7,11,10,6,10,5,9,14,24,55,117,113,82,74,89,140,155,155,140,99,145,
BAHAMAS,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TF,"1,598","1,633","1,618","1,528","1,577","1,544","1,538","1,513","1,510","1,561","1,608","1,601","1,528","1,463","1,327","1,370","1,346","1,422","1,366","1,427","1,484","1,499","1,439",
Tourism expenditure in the country - US$ Mn,,IMF,"1,356","1,409","1,427","1,365","1,598","1,753","1,665","1,773","1,770","1,897","2,081","2,066","2,198","2,155","2,025","2,159","2,157","2,333","2,305","2,336","2,554","2,608","2,598",
Travel - US$ Mn,,IMF,"1,346","1,398","1,416","1,354","1,583","1,738","1,648","1,760","1,757","1,884","2,071","2,056","2,187","2,144","2,014","2,147","2,142","2,311","2,285","2,316","2,537","2,591","2,577",
Passenger transport - US$ Mn,,IMF,10,11,11,11,15,15,17,13,13,13,10,10,11,11,11,12,15,22,20,20,17,17,21,
