COUNTRY,,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,NOTES
Tourism expenditure in other countries - US$ Mn,,IMF,"2,722","3,032","3,158","2,160","2,382","2,543","3,391","3,330","3,401","3,822","4,339","5,085","6,600","7,724","7,196",..,..,..,..,..,..,..,..,
Travel - US$ Mn,,IMF,"2,314","2,569","2,590","1,785","1,973","2,075","2,614","2,618","2,846","3,178","3,711","4,257","5,601","6,709","6,508","8,324","10,180","12,217","12,236","12,442","10,708","10,472","10,699",
Passenger transport - US$ Mn,,IMF,408,463,568,375,409,468,777,712,555,644,628,828,999,"1,015",688,..,..,..,..,..,..,..,..,
MALDIVES,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,315,339,366,396,430,467,461,485,564,617,395,602,676,683,656,792,931,958,"1,125","1,205","1,234","1,286","1,390","1/ Arrivals by air.
2/ As part of the Maldives Monetary Authority efforts to improve the coverage of the balance of payments statistics, the methodology has been revised from 2005."
Tourism expenditure in the country - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,966","2,032","2,422","2,811","2,691","2,640","2,886",
Travel - US$ Mn,2/,IMF,211,266,286,303,314,321,327,337,402,471,826,"1,235","1,515","1,559","1,473","1,713","1,940","1,958","2,335","2,696","2,569","2,506","2,742",
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26,74,87,115,122,134,144,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,TF,32,32,33,37,42,42,41,43,44,61,77,74,102,123,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,41,48,51,55,58,60,59,60,60,75,94,106,152,211,212,252,231,207,252,271,309,347,365,
Travel - US$ Mn,,IMF,31,38,40,42,45,46,45,46,46,56,70,78,122,167,174,205,184,164,204,208,253,284,303,
Passenger transport - US$ Mn,,IMF,10,10,11,13,13,14,14,14,14,19,24,28,30,44,38,47,47,43,48,63,56,63,62,
MALI,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TF,..,..,..,..,..,..,..,..,..,..,..,..,..,190,160,169,160,134,142,168,159,173,193,
Arrivals - Thousands,,THS,42,98,75,83,82,86,89,96,110,113,143,153,164,..,..,..,..,32,57,53,15,42,11,
Tourism expenditure in the country - US$ Mn,,IMF,26,27,25,28,36,47,91,105,136,142,149,175,227,286,196,208,218,144,178,214,..,..,..,
Travel - US$ Mn,,IMF,25,24,23,25,30,40,88,104,128,140,148,175,221,275,192,205,210,142,178,212,186,..,..,
Passenger transport - US$ Mn,,IMF,1,3,2,3,6,7,3,1,8,2,1,0.4,6,11,4,3,8,2,0.2,2,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,74,69,65,67,65,66,65,62,94,125,133,196,201,228,191,167,171,164,189,231,..,..,..,
Travel - US$ Mn,,IMF,49,40,38,38,40,40,36,36,48,66,77,120,137,147,102,111,119,102,118,144,150,..,..,
Passenger transport - US$ Mn,,IMF,25,29,27,29,25,26,29,26,46,59,56,76,64,81,89,56,52,62,71,87,..,..,..,
MALTA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,"1,116","1,054","1,111","1,182","1,214","1,216","1,180","1,134","1,127","1,156","1,171","1,124","1,244","1,291","1,182","1,339","1,415","1,443","1,582","1,690","1,783","1,966","2,274",1/ From 2004 data based on departures by air and by sea.
Tourism expenditure in the country - US$ Mn,,IMF,813,780,789,818,841,731,704,757,869,949,924,966,"1,185",..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,IMF,656,632,635,653,667,587,561,614,722,767,755,767,965,"1,082",899,"1,066","1,276","1,260","1,402","1,521","1,381","1,451","1,746",
Passenger transport - US$ Mn,,IMF,157,148,154,165,174,144,143,143,147,182,169,199,220,..,..,..,..,..,..,..,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,TF,163,168,172,167,179,200,179,157,174,203,225,257,280,261,264,294,309,331,363,391,428,497,573,
Tourism expenditure in other countries - US$ Mn,,IMF,237,244,216,221,231,224,204,180,238,291,311,362,284,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,IMF,214,219,190,193,201,200,180,154,215,255,268,320,237,307,291,309,333,339,384,397,368,408,472,
Passenger transport - US$ Mn,,IMF,23,25,26,28,30,24,24,26,23,36,43,42,47,..,..,..,..,..,..,..,..,..,..,
MARSHALL ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,5.5,6.2,6.4,6.4,4.6,5.2,5.4,6,7.2,9,9.2,5.8,7.2,6,5.4,4.6,4.6,4.6,..,4.9,6.3,5.4,6,"1/ 1995-2003, 2006-2008, 2010-2017 arrivals by air. 2004, 2005, 2009 air and sea arrivals.
2014-2017 Source: South Pacific Tourism Organisation - Regional Tourism Resource Centre.
2/ 1995-2004 country data. Fiscal years (October 1 to September 30)"
Tourism expenditure in the country - US$ Mn,2/,IMF,2.5,3,3,3,2.9,3,3.1,3.4,4,5,3.7,3.6,3.3,2.7,3.1,3.7,4.8,4.1,4.3,5.4,5.1,30.4,..,
Travel - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,3.2,3.1,2.9,2.6,2.9,3.5,4.5,3.9,4.1,5.2,4.9,5.2,..,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,0.5,0.5,0.4,0.1,0.2,0.2,0.3,0.2,0.2,0.2,0.2,25.2,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,2/,IMF,..,..,..,..,0.1,0.2,0.3,0.3,0.3,0.4,25.5,23.1,24.3,24.5,24.6,22,23.8,25.5,24.7,23.8,26.2,27,..,
Travel - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,14.4,10.9,11.4,11.6,12.4,11.1,12.7,12.9,12.7,12.3,14.7,15.5,..,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,11.1,12.2,12.9,12.9,12.2,10.9,11.1,12.6,12,11.5,11.5,11.5,..,
MARTINIQUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TF,457,477,513,549,564,526,460,447,453,471,484,503,501,481,442,478,497,488,490,490,487,519,536,"1/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
Tourism expenditure in the country - US$ Mn,1/,country,384,382,400,415,404,302,245,237,247,291,280,384,409,463,420,472,516,462,484,483,340,365,490,
Travel - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
MAURITANIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TF,..,..,..,..,24,30,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1/ 1999 country data.
Tourism expenditure in the country - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50,50,42,31,33,24,
Travel - US$ Mn,1/,IMF,11,19,21,20,28,..,..,..,..,..,..,..,..,..,..,..,..,48,41,37,29,30,23,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,9,5,2,3,1,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,30,41,53,47,..,..,..,..,..,..,..,..,..,..,..,..,..,101,105,112,73,74,61,
Travel - US$ Mn,1/,IMF,23,36,48,42,55,..,..,..,..,..,..,..,..,..,..,..,..,59,58,62,43,41,29,
Passenger transport - US$ Mn,,IMF,7,5,5,5,..,..,..,..,..,..,..,..,..,..,..,..,..,42,47,50,30,33,32,
MAURITIUS,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TF,422,487,536,558,578,656,660,682,702,719,761,788,907,930,871,935,965,965,993,"1,038","1,151","1,275","1,342",
Tourism expenditure in the country - US$ Mn,,IMF,616,705,666,672,718,732,820,829,960,"1,156","1,189","1,302","1,663","1,823","1,390","1,585","1,808","1,778","1,593","1,719","1,680","1,824","2,005",
Travel - US$ Mn,,IMF,430,504,478,496,543,542,623,612,697,856,871,"1,005","1,304","1,454","1,120","1,285","1,484","1,480","1,322","1,447","1,433","1,571","1,748",
Passenger transport - US$ Mn,,IMF,186,201,188,176,175,190,197,217,263,300,318,297,359,369,270,300,324,298,271,272,247,253,257,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,TF,107,120,132,143,154,163,161,162,161,180,183,186,213,226,196,212,219,237,228,223,242,260,283,
Tourism expenditure in other countries - US$ Mn,,IMF,184,205,194,203,210,203,216,223,236,277,295,347,384,489,384,423,427,394,458,503,616,683,738,
Travel - US$ Mn,,IMF,159,179,173,185,187,182,198,204,216,255,275,327,357,452,354,398,400,366,438,481,547,616,669,
Passenger transport - US$ Mn,,IMF,25,26,21,18,23,21,18,19,20,22,20,20,27,37,30,25,27,28,20,22,69,67,69,
MEXICO,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,"20,241","21,395","19,351","19,392","19,043","20,641","19,810","19,667","18,665","20,618","21,915","21,353","21,606","22,931","22,346","23,290","23,403","23,403","24,151","29,346","32,093","35,079","39,291",1/ Including nationals residing abroad. 2017: preliminary data.
Tourism expenditure in the country - US$ Mn,,IMF,"6,847","7,531","8,184","8,307","8,135","9,133","9,190","9,547","10,058","11,609","12,801","13,329","14,055","14,726","12,542","12,628","12,458","13,320","14,311","16,606","18,729","20,619","22,467",
Travel - US$ Mn,,IMF,"6,179","6,756","7,376","7,493","7,223","8,294","8,401","8,858","9,362","10,796","11,803","12,177","12,919","13,370","11,513","11,992","11,869","12,739","13,949","16,208","17,734","19,650","21,336",
Passenger transport - US$ Mn,,IMF,668,775,808,814,912,839,789,689,696,813,998,"1,152","1,136","1,356","1,029",636,589,581,362,398,995,969,"1,131",
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,TF,"8,450","9,001","8,910","9,637","10,352","11,079","12,075","11,948","11,044","12,494","13,305","14,002","15,257","14,527","14,104","14,334","14,799","15,581","15,911","18,261","19,603","20,223","19,067",
Tourism expenditure in other countries - US$ Mn,,IMF,"3,587","3,963","4,554","4,834","5,192","6,365","6,685","7,087","7,252","8,034","8,951","9,387","9,918","10,246","8,737","9,001","9,704","10,735","11,970","12,556","12,668","12,823","13,648",
Travel - US$ Mn,,IMF,"3,171","3,387","3,892","4,209","4,541","5,499","5,702","6,060","6,253","6,959","7,600","8,108","8,462","8,568","7,207","7,255","7,832","8,449","9,122","9,606","10,098","10,303","10,840",
Passenger transport - US$ Mn,,IMF,416,576,662,625,651,866,983,"1,027",999,"1,075","1,351","1,279","1,456","1,678","1,530","1,746","1,872","2,286","2,848","2,950","2,570","2,520","2,808",
"MICRONESIA, FEDERATED STATES OF",,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,..,17.6,17.2,13.4,16.1,20.5,15.3,19.1,18.2,19.3,19,19.1,21.1,25.7,47.5,44.7,35.4,38.3,42.1,35.4,31.2,29.6,..,"1/ Arrivals in the States of Kosrae, Chuuk, Pohnpei and Yap; excluding FSM citizens.
2/ 1997-2008: country data."
Tourism expenditure in the country - US$ Mn,2/,country,..,..,15.8,13.2,13.9,17,14.7,16.8,16.7,19,21,23,25,27,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22,24,22,22,27,29,25,..,..,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,2/,IMF,..,..,4.6,4.8,4.9,5.3,5.4,5.3,5.5,6.7,6.9,7,7,7.1,26,28,27,30,29,29,..,..,..,
Travel - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,12,12,13,12,12,..,..,..,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16,16,15,17,17,17,..,..,..,
"MOLDOVA, REPUBLIC OF",,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,1/ 2/,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Persons crossing the state borders. Including some categories of visitors that should be excluded according to the International Recommendations for Tourism Statistics 2008.
2/ Excluding the left side of the river Nistru and the municipality of Bender.
3/ Visitors who have benefited from tourism services provided by the tourism agencies and tour operators (titulars of tourism licences).
"
Arrivals - Thousands,2/,TCE,..,..,..,..,..,..,..,..,..,69,67,63,70,73,60,64,75,89,96,94,94,121,145,
Tourism expenditure in the country - US$ Mn,,IMF,71,50,74,64,49,57,58,72,79,112,138,150,229,293,240,222,253,279,324,328,300,343,439,
Travel - US$ Mn,,IMF,57,33,50,40,34,39,39,50,54,91,103,117,171,216,173,163,186,198,230,234,219,255,319,
Passenger transport - US$ Mn,,IMF,14,17,24,24,15,18,19,22,25,21,35,33,58,77,67,59,67,81,94,94,81,88,120,
Outbound tourism,2/ 3/,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,93,117,136,147,158,181,190,177,229,
Tourism expenditure in other countries - US$ Mn,,IMF,73,77,75,73,69,86,90,109,118,135,170,224,290,359,307,298,349,396,428,442,370,333,381,
Travel - US$ Mn,,IMF,56,52,65,59,57,73,75,95,99,113,141,190,233,288,243,241,277,308,335,345,284,257,303,
Passenger transport - US$ Mn,,IMF,17,25,10,14,12,13,15,14,19,22,29,34,57,71,64,57,72,88,93,97,86,76,78,
MONACO,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,THS,233,226,259,278,278,300,270,263,235,250,286,313,328,324,265,279,295,292,328,329,331,336,355,
Tourism expenditure in the country - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
MONGOLIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,VF,108,71,82,197,160,158,192,235,205,305,345,408,455,469,465,557,627,624,515,506,467,471,543,
Arrivals - Thousands,,TF,..,..,..,165,155,154,187,229,201,301,339,404,452,446,412,456,460,476,418,393,386,404,469,
Tourism expenditure in the country - US$ Mn,,IMF,33,20,25,47,43,43,49,143,154,205,203,261,349,272,253,288,197,215,236,257,279,379,462,
Travel - US$ Mn,,IMF,21,10,13,35,36,36,39,130,143,185,177,225,307,247,235,244,156,177,197,215,246,316,396,
Passenger transport - US$ Mn,,IMF,12,10,12,12,7,7,10,13,11,20,26,36,42,25,18,44,41,38,39,42,33,63,66,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,22,37,19,50,45,54,59,125,144,207,142,196,218,249,242,319,460,558,643,529,473,536,618,
Travel - US$ Mn,,IMF,20,19,14,45,41,51,55,119,138,193,126,172,196,217,210,265,396,485,580,473,422,482,533,
Passenger transport - US$ Mn,,IMF,2,18,5,5,4,3,4,6,6,14,16,24,22,32,32,54,64,73,63,56,51,54,85,
MONTENEGRO,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TCE,..,..,..,..,..,..,..,136,142,188,272,378,984,"1,031","1,044","1,088","1,201","1,264","1,324","1,350","1,560","1,662","1,877",
Tourism expenditure in the country - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,660,859,792,765,926,860,929,959,947,978,"1,109",
Travel - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,630,813,745,713,875,809,880,908,903,933,"1,066",
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,30,46,47,52,51,51,49,51,44,45,43,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,58,80,76,72,70,67,81,79,68,91,91,
Travel - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,37,43,49,46,39,39,48,47,44,66,67,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,21,37,27,26,31,28,33,32,24,25,24,
MONTSERRAT,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TF,17.7,8.7,5.1,7.5,9.8,10.3,9.8,9.8,8.4,10.1,9.7,8,7.7,7.4,6.3,6,5.4,7.3,7.2,8.8,8.9,8.7,..,
Tourism expenditure in the country - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.2,9.6,9.6,9.4,
Travel - US$ Mn,,IMF,17,8,5,6,8,9,8,9,7,9,9,7.7,7.4,7,6.1,5.9,5.2,7,7.6,8.6,9,8.9,8.8,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.6,0.6,0.7,0.6,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.6,6.8,6.4,6.1,
Travel - US$ Mn,,IMF,4,4,1,1,1,2,2,2,2,2,3,2.8,2.9,3.2,3,2.9,3.2,3,3.1,6.1,6.4,6,5.7,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.4,0.4,0.4,
MOROCCO,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,"2,602","2,693","3,072","3,095","3,817","4,278","4,380","4,453","4,761","5,477","5,843","6,558","7,408","7,879","8,341","9,288","9,342","9,375","10,046","10,283","10,177","10,332","11,349",1/ Including nationals residing abroad.
Tourism expenditure in the country - US$ Mn,,IMF,"1,469","1,857","1,649","1,934","2,177","2,280","2,966","3,157","3,802","4,540","5,426","6,900","8,307","8,885","7,980","8,176","9,101","8,491","8,201","9,070","7,765","7,921","9,086",
Travel - US$ Mn,,IMF,"1,296","1,675","1,446","1,744","1,949","2,039","2,583","2,646","3,221","3,922","4,610","5,984","7,181","7,221","6,626","6,702","7,321","6,697","6,851","7,384","6,260","6,556","7,494",
Passenger transport - US$ Mn,,IMF,173,182,203,190,228,241,383,511,581,618,816,916,"1,126","1,664","1,354","1,474","1,780","1,794","1,350","1,686","1,505","1,365","1,592",
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,TF,"1,317","1,212","1,203","1,275","1,545","1,508","1,701","1,533","1,612","1,603","2,247","2,135","2,669","3,421","2,293","2,175","2,378","2,323","2,195","1,850","1,910","1,864","1,849",
Tourism expenditure in other countries - US$ Mn,,IMF,356,353,363,496,578,506,589,669,845,912,999,"1,113","1,418","1,910","1,713","1,879","2,260","2,095","2,002","2,273","2,155","2,309","2,829",
Travel - US$ Mn,,IMF,302,300,315,423,452,425,389,444,548,574,612,693,880,"1,090","1,106","1,203","1,363","1,253","1,318","1,456","1,402","1,457","1,793",
Passenger transport - US$ Mn,,IMF,54,53,48,73,126,81,200,225,297,338,387,420,538,820,607,676,897,842,684,817,753,852,"1,036",
MOZAMBIQUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,..,..,..,..,..,..,323,541,441,470,578,664,771,"1,193","1,461","1,718","1,902","2,113","1,886","1,661","1,552","1,639","1,447","1/ Note 2008: Change of methodology. Until 2007 the data correspond only to 12 border posts. From 2008, the data of all the border posts of the country are used."
Tourism expenditure in the country - US$ Mn,,IMF,..,..,..,..,..,..,..,65,106,96,138,145,182,213,217,135,171,224,228,225,202,114,164,
Travel - US$ Mn,,IMF,..,49,61,61,61,74,64,63,98,95,130,140,163,190,196,108,138,189,199,207,193,108,151,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,2,8,1,8,5,19,23,21,27,33,35,29,18,9,6,13,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,..,..,..,..,140,122,132,115,141,140,187,196,209,241,247,247,264,247,313,331,322,290,237,
Travel - US$ Mn,,IMF,..,68,82,97,136,108,114,113,140,134,176,179,180,208,212,216,230,186,241,253,223,245,191,
Passenger transport - US$ Mn,,IMF,..,..,..,..,4,14,18,2,1,6,11,17,29,33,35,31,34,61,72,78,99,45,46,
MYANMAR,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,194,490,491,478,435,416,475,487,597,657,660,630,716,731,763,792,816,"1,059","2,044","3,081","4,681","2,907","3,443",1/ 2016: change in the methodology.
Tourism expenditure in the country - US$ Mn,,IMF,169,215,183,196,222,195,132,136,70,97,83,59,97,80,75,91,334,550,964,"1,687","2,199","2,289","2,279",
Travel - US$ Mn,,IMF,151,181,155,171,189,162,109,120,56,84,67,46,85,68,56,72,325,539,959,"1,613","2,120","2,197","2,260",
Passenger transport - US$ Mn,,IMF,18,34,28,25,33,33,23,16,14,13,16,13,12,12,19,19,9,11,5,74,79,92,19,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,..,..,38,31,26,30,32,34,36,32,34,40,39,50,..,..,132,265,131,119,146,201,136,
Travel - US$ Mn,,IMF,18,28,33,27,21,25,27,29,32,29,31,37,36,49,52,53,123,257,115,37,25,37,105,
Passenger transport - US$ Mn,,IMF,..,..,5,4,5,5,5,5,4,3,3,3,3,1,..,..,9,8,16,82,121,164,31,
NAMIBIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TF,272,461,502,614,635,656,670,757,695,716,778,833,929,931,980,984,"1,027","1,079","1,176","1,320","1,388","1,469","1,499",
Tourism expenditure in the country - US$ Mn,,IMF,..,..,..,..,..,193,264,251,383,426,363,473,542,484,512,473,520,635,361,552,540,378,393,
Travel - US$ Mn,,IMF,278,293,333,288,287,160,236,218,333,405,349,381,434,382,399,321,266,512,247,452,465,307,316,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,33,28,33,50,21,14,92,108,102,113,152,254,123,114,100,75,71,77,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40,42,55,53,47,67,72,82,79,
Travel - US$ Mn,,IMF,90,89,99,88,89,86,71,65,101,123,108,118,132,114,35,35,46,48,41,50,63,72,71,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5,7,9,5,6,17,9,10,8,
NEPAL,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,363,394,422,464,492,464,361,275,338,385,375,384,527,500,510,603,736,803,798,790,539,753,940,1/ Including arrivals from India.
Tourism expenditure in the country - US$ Mn,,IMF,232,237,201,248,229,219,191,134,232,260,160,157,234,353,439,378,415,379,460,511,509,498,712,
Travel - US$ Mn,,IMF,177,161,146,189,173,158,144,103,199,230,131,128,200,335,413,344,383,351,436,487,483,446,629,
Passenger transport - US$ Mn,,IMF,55,76,55,59,56,61,47,31,33,30,29,29,34,18,26,34,32,28,24,24,26,52,83,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
